	alpha	elutriation	cdc15	sporulation	heatshock	dithiothreitol	cold	diauxic                                                             
YBR166C                               	-0.0369397913774043                   	-0.154012476228412                    	0.114327345994482                     	0.194362529830991                     	-0.180031658670386                    	0.0441273902648432                    	0.14373080000509                      	-0.0863852599765474                   
YOR357C                               	-0.575519391852095                    	-0.292018537632426                    	-0.07392166265652                     	-0.0564367463110669                   	0.0854210635327553                    	0.00488953635625135                   	-0.0911889088238843                   	-0.442146273613041                    
YLR292C                               	-0.244985625990953                    	0.0122693251962974                    	0.205154519290934                     	0.102116487235008                     	0.0156328504275365                    	-0.0121968268776105                   	-0.246171824338479                    	-0.403167110450244                    
YGL112C                               	-0.422916609284445                    	0.152653016817202                     	0.0503612082494177                    	0.0882012228360489                    	-0.10736904864275                     	-0.0943194264522197                   	0.203190200832673                     	-0.355198247554978                    
YIL118W                               	-0.0901797498662321                   	0.0472794636229284                    	0.00826148466267216                   	0.095826716399183                     	-0.0891729391603796                   	-0.0587284643010525                   	0.119499484378256                     	-0.404904457250616                    
YDL120W                               	-0.161800340956106                    	0.0125338768087911                    	0.0114362181410607                    	-0.130758935612248                    	-0.310776727307375                    	0.0201659607179098                    	-0.233247651511617                    	-0.327069996917547                    
YHL025W                               	-0.295418553408173                    	0.307493110050542                     	0.350214923818415                     	0.0567748382505832                    	-0.111659827345756                    	-0.122346464958357                    	-0.179719130666243                    	-0.19787062708403                     
YGL248W                               	-0.189134139983089                    	-0.0393259955763955                   	0.220620336641662                     	0.088435457814122                     	0.440646647859887                     	0.0938466812244053                    	-0.338897635731204                    	-0.00256244606765327                  
YIL146C                               	-0.530617463512382                    	0.0551847094483981                    	0.318537871149377                     	0.399521769477506                     	0.143556914544308                     	-0.172741106243368                    	0.703093826906991                     	-0.160267775307287                    
YJR106W                               	-0.315458431495938                    	-0.10131131704226                     	0.0885833699611865                    	0.0680911873929774                    	0.164716620160708                     	-0.0526503113720109                   	-0.165528847463102                    	0.274332901674464                     
YNL272C                               	0.183778884277855                     	-0.139179085179329                    	-0.340785914616754                    	0.211346420501022                     	-0.208531548341643                    	-0.61389344583322                     	0.378553004336919                     	-0.075020497761942                    
YBR123C                               	-0.0444862666889782                   	-0.229178835628931                    	0.101078792699477                     	0.0603051269721463                    	0.0579967553288366                    	-0.359651062314657                    	-0.0219544408098665                   	-0.1110405496274                      
YCR040W                               	-0.124557257289026                    	-0.280337921879854                    	-0.0414378053426489                   	0.137611804163514                     	-0.226789101461467                    	-0.303124240074568                    	-0.163788730075956                    	-0.199568394397477                    
YHR047C                               	-0.279841735103459                    	0.0621177792390524                    	-0.253258112916423                    	0.0491279688868256                    	-0.359250248517585                    	-0.233144439351534                    	-0.425254279600104                    	-0.464409679435555                    
YMR055C                               	-0.323000485878959                    	-0.238298758643503                    	-0.260399042693125                    	0.0763561425116548                    	-0.147876826006451                    	-0.208034914251337                    	-0.464682781306525                    	-0.181126322527531                    
YDR457W                               	-0.0135226395620898                   	-0.511794044594857                    	-0.15818239503361                     	0.0280666208475877                    	-0.138375838722075                    	-0.265223579810365                    	-0.121198572645317                    	-0.0484682630362595                   
