     MBA.cp7	MBA.cp4	MBA.cx2	MBA.cc2	MBA.cc4	MBA.cx1	MBA.cp3	MBA.cp6	MBA.cp5	MBA.cc6	MBA.cx4	MBA.cp2	MBA.cc3	MBA.cp1	MBA.cx3	MBA.cc5	MBA.cx5	MBA.cc1
1000_at	6.93059214951261	6.98516334083957	6.81365535954975	6.85258423157355	7.0635740983378	6.82649838751023	7.26022048934657	7.2210571948701	7.31818898333394	7.25921768071484	7.25475854551648	6.84270256425804	7.27721584237085	7.33991039959462	7.30798115638822	7.41885360133409	7.61640175470254	7.34641503301978
1001_at	3.96219632655251	3.95793215462277	4.48974575342561	4.02261104350739	3.97048235087045	3.88705325671991	3.9341300039899	3.94576809101378	3.81371652061494	4.14419000981653	3.87537609819193	3.97353406097149	3.97501704419777	3.70921245699535	3.96609246344009	3.78751912325313	3.88342717054144	3.5558667934733
1002_f_at	3.60996640053075	3.66090299781824	3.76056922803928	3.62986237924752	3.56467042236518	3.57711475393213	3.78291474716458	3.56365374620006	3.7005044337531	3.71462449263309	3.71208483865835	3.82586749645388	3.65101253729331	3.40288948967106	3.66624087293783	3.56506532886103	3.85926524714574	3.44799348480203
1003_s_at	5.63060954576067	5.78212284516225	5.88799415639518	5.8813429119942	5.68320670708083	5.72042101961222	5.69905225933134	5.77106417022208	5.76095635365843	5.71326242535083	5.55278813198992	5.85514182080941	5.86587990384222	5.55633019584061	5.83270453375839	5.74552955535289	5.6167720359968	5.49437268669389
1004_at	5.10291725896156	5.11116456073674	5.34546460824446	5.07031206847437	5.11039781524465	4.94737325724702	5.08029296052595	4.9766053832666	5.26268852159921	5.52832308784412	5.03414112901587	5.21851266377619	5.0774436915284	5.03550375914796	5.10614668953868	4.95422606995889	5.30248427421385	5.00256098234205
1005_at	7.05720915094940	6.74530043115648	6.184979721227	5.7964497331294	6.01568841460087	5.98785389104338	7.51646978801972	6.22053417123605	5.96085795525293	5.50839807834299	5.47253109037641	5.63199998531565	5.95114511529037	7.72322871696223	5.86826854589918	5.72658552006293	5.15503915124918	5.62215452869014
1006_at	3.46763067374585	3.31017955493537	3.37611410527079	3.31664750796253	3.29620087622082	3.46407001427367	3.32637410041355	3.37253755202249	3.32174360629749	3.224570629474	3.2252288285782	3.33404880297499	3.41718863804503	3.25691744274724	3.25166203102507	3.3168939748444	3.31466246615256	3.17993681181559
1007_s_at	7.50799136078476	7.51806724129758	7.40044506054954	7.60074160766377	7.37097205330295	7.70610978611372	7.48638593920799	7.4206048849492	7.56336357242622	7.42424087542868	7.59663803893292	7.54232159513672	7.60024255889868	7.46358992478666	7.66424463479203	7.75865672506559	7.38853921251344	7.72303591723886
1008_f_at	6.96286171614126	6.984750510042	6.82422201005896	6.65275833526427	7.11700166922679	6.95456311841166	7.06010207231353	7.08351873515281	7.1127216112192	6.7522542946201	7.51816211004386	7.055405595572	6.94827219333578	7.05679647636079	6.79712018286269	6.93290900471736	6.82015582574216	7.20008203466886
1009_at	9.10326965228066	8.87082573081709	8.6910704584232	8.6140310571911	9.27407328999132	8.89757081083613	9.14558330938729	9.05384977377877	9.04463789907157	8.50353321564211	9.24484271663782	9.0228202384021	9.19681749826276	9.33421722110473	9.13635823129289	9.19973624258121	8.70523928393839	9.2893228739939
